Time resolution is 1 ps
Time = 0, Reset = 1, Up/Down = 1, Count = 0000
Time = 100000, Reset = 0, Up/Down = 1, Count = 0000
Time = 105000, Reset = 0, Up/Down = 1, Count = 1111
Time = 115000, Reset = 0, Up/Down = 1, Count = 1110
Time = 125000, Reset = 0, Up/Down = 1, Count = 1101
Time = 135000, Reset = 0, Up/Down = 1, Count = 1100
Time = 145000, Reset = 0, Up/Down = 1, Count = 1011
Time = 155000, Reset = 0, Up/Down = 1, Count = 1010
Time = 165000, Reset = 0, Up/Down = 1, Count = 1001
Time = 175000, Reset = 0, Up/Down = 1, Count = 1000
Time = 185000, Reset = 0, Up/Down = 1, Count = 0111
Time = 195000, Reset = 0, Up/Down = 1, Count = 0110
Time = 205000, Reset = 0, Up/Down = 1, Count = 0101
Time = 215000, Reset = 0, Up/Down = 1, Count = 0100
Time = 225000, Reset = 0, Up/Down = 1, Count = 0011
Time = 235000, Reset = 0, Up/Down = 1, Count = 0010
Time = 245000, Reset = 0, Up/Down = 1, Count = 0001
Time = 255000, Reset = 0, Up/Down = 1, Count = 0000
Time = 265000, Reset = 0, Up/Down = 1, Count = 1111
Time = 275000, Reset = 0, Up/Down = 1, Count = 1110
Time = 285000, Reset = 0, Up/Down = 1, Count = 1101
Time = 295000, Reset = 0, Up/Down = 1, Count = 1100
Time = 305000, Reset = 0, Up/Down = 1, Count = 1011
Time = 315000, Reset = 0, Up/Down = 1, Count = 1010
Time = 325000, Reset = 0, Up/Down = 1, Count = 1001
Time = 335000, Reset = 0, Up/Down = 1, Count = 1000
Time = 345000, Reset = 0, Up/Down = 1, Count = 0111
Time = 355000, Reset = 0, Up/Down = 1, Count = 0110
Time = 365000, Reset = 0, Up/Down = 1, Count = 0101
Time = 375000, Reset = 0, Up/Down = 1, Count = 0100
Time = 385000, Reset = 0, Up/Down = 1, Count = 0011
Time = 395000, Reset = 0, Up/Down = 1, Count = 0010
Time = 405000, Reset = 0, Up/Down = 1, Count = 0001
Time = 415000, Reset = 0, Up/Down = 1, Count = 0000
Time = 420000, Reset = 0, Up/Down = 0, Count = 1110
Time = 425000, Reset = 0, Up/Down = 0, Count = 1111
Time = 435000, Reset = 0, Up/Down = 0, Count = 0000
Time = 445000, Reset = 0, Up/Down = 0, Count = 0001
Time = 455000, Reset = 0, Up/Down = 0, Count = 0010
Time = 465000, Reset = 0, Up/Down = 0, Count = 0011
Time = 475000, Reset = 0, Up/Down = 0, Count = 0100
Time = 485000, Reset = 0, Up/Down = 0, Count = 0101
Time = 495000, Reset = 0, Up/Down = 0, Count = 0110
Time = 505000, Reset = 0, Up/Down = 0, Count = 0111
Time = 515000, Reset = 0, Up/Down = 0, Count = 1000
Time = 525000, Reset = 0, Up/Down = 0, Count = 1001
Time = 535000, Reset = 0, Up/Down = 0, Count = 1010
Time = 545000, Reset = 0, Up/Down = 0, Count = 1011
Time = 555000, Reset = 0, Up/Down = 0, Count = 1100
Time = 565000, Reset = 0, Up/Down = 0, Count = 1101
Time = 575000, Reset = 0, Up/Down = 0, Count = 1110
Time = 585000, Reset = 0, Up/Down = 0, Count = 1111
Time = 595000, Reset = 0, Up/Down = 0, Count = 0000
Time = 605000, Reset = 0, Up/Down = 0, Count = 0001
Time = 615000, Reset = 0, Up/Down = 0, Count = 0010
Time = 625000, Reset = 0, Up/Down = 0, Count = 0011
Time = 635000, Reset = 0, Up/Down = 0, Count = 0100
Time = 645000, Reset = 0, Up/Down = 0, Count = 0101
Time = 655000, Reset = 0, Up/Down = 0, Count = 0110
Time = 665000, Reset = 0, Up/Down = 0, Count = 0111
Time = 675000, Reset = 0, Up/Down = 0, Count = 1000
Time = 685000, Reset = 0, Up/Down = 0, Count = 1001
Time = 695000, Reset = 0, Up/Down = 0, Count = 1010
Time = 705000, Reset = 0, Up/Down = 0, Count = 1011
Time = 715000, Reset = 0, Up/Down = 0, Count = 1100
Time = 725000, Reset = 0, Up/Down = 0, Count = 1101
Time = 735000, Reset = 0, Up/Down = 0, Count = 1110
Time = 740000, Reset = 1, Up/Down = 0, Count = 0000
Time = 760000, Reset = 0, Up/Down = 1, Count = 0000
Time = 765000, Reset = 0, Up/Down = 1, Count = 1111
Time = 775000, Reset = 0, Up/Down = 1, Count = 1110
Time = 785000, Reset = 0, Up/Down = 1, Count = 1101
Time = 795000, Reset = 0, Up/Down = 1, Count = 1100
Time = 805000, Reset = 0, Up/Down = 1, Count = 1011
Time = 815000, Reset = 0, Up/Down = 1, Count = 1010
Time = 825000, Reset = 0, Up/Down = 1, Count = 1001
Time = 835000, Reset = 0, Up/Down = 1, Count = 1000
Time = 845000, Reset = 0, Up/Down = 1, Count = 0111
Time = 855000, Reset 
