Time resolution is 1 ps
A=190 B= 40 Cin=0 | Sum=11100110 Cout=0
A=190 B= 40 Cin=1 | Sum=11100111 Cout=0
A=190 B= 41 Cin=0 | Sum=11100111 Cout=0
A=190 B= 41 Cin=1 | Sum=11101100 Cout=0
A=190 B= 42 Cin=0 | Sum=11101000 Cout=0
A=190 B= 42 Cin=1 | Sum=11101001 Cout=0
A=190 B= 43 Cin=0 | Sum=11101001 Cout=0
A=190 B= 43 Cin=1 | Sum=11101010 Cout=0
A=190 B= 44 Cin=0 | Sum=11101010 Cout=0
A=190 B= 44 Cin=1 | Sum=11101011 Cout=0
A=190 B= 45 Cin=0 | Sum=11101011 Cout=0
A=190 B= 45 Cin=1 | Sum=11101000 Cout=0
A=190 B= 46 Cin=0 | Sum=11101100 Cout=0
A=190 B= 46 Cin=1 | Sum=11101101 Cout=0
A=190 B= 47 Cin=0 | Sum=11101101 Cout=0
A=190 B= 47 Cin=1 | Sum=11101110 Cout=0
A=190 B= 48 Cin=0 | Sum=11101110 Cout=0
A=190 B= 48 Cin=1 | Sum=11101111 Cout=0
A=190 B= 49 Cin=0 | Sum=11101111 Cout=0
A=190 B= 49 Cin=1 | Sum=11100100 Cout=0
A=190 B= 50 Cin=0 | Sum=11110000 Cout=0
A=190 B= 50 Cin=1 | Sum=11110001 Cout=0
A=190 B= 51 Cin=0 | Sum=11110001 Cout=0
A=190 B= 51 Cin=1 | Sum=11110010 Cout=0
A=190 B= 52 Cin=0 | Sum=11110010 Cout=0
A=190 B= 52 Cin=1 | Sum=11110011 Cout=0
A=190 B= 53 Cin=0 | Sum=11110011 Cout=0
A=190 B= 53 Cin=1 | Sum=11110000 Cout=0
A=190 B= 54 Cin=0 | Sum=11110100 Cout=0
A=190 B= 54 Cin=1 | Sum=11110101 Cout=0
A=190 B= 55 Cin=0 | Sum=11110101 Cout=0
A=190 B= 55 Cin=1 | Sum=11110110 Cout=0
A=190 B= 56 Cin=0 | Sum=11110110 Cout=0
A=190 B= 56 Cin=1 | Sum=11110111 Cout=0
A=190 B= 57 Cin=0 | Sum=11110111 Cout=0
A=190 B= 57 Cin=1 | Sum=11111100 Cout=0
A=190 B= 58 Cin=0 | Sum=11111000 Cout=0
A=190 B= 58 Cin=1 | Sum=11111001 Cout=0
A=190 B= 59 Cin=0 | Sum=11111001 Cout=0
A=190 B= 59 Cin=1 | Sum=11111010 Cout=0
A=190 B= 60 Cin=0 | Sum=11111010 Cout=0
A=190 B= 60 Cin=1 | Sum=11111011 Cout=0
A=190 B= 61 Cin=0 | Sum=11111011 Cout=0
A=190 B= 61 Cin=1 | Sum=11111000 Cout=0
A=190 B= 62 Cin=0 | Sum=11111100 Cout=0
A=190 B= 62 Cin=1 | Sum=11111101 Cout=0
A=190 B= 63 Cin=0 | Sum=11111101 Cout=0
A=190 B= 63 Cin=1 | Sum=11111110 Cout=0
A=190 B= 64 Cin=0 | Sum=11111110 Cout=0
A=190 B= 64 Cin=1 | Sum=11111111 Cout=0
A=190 B= 65 Cin=0 | Sum=11111111 Cout=0
A=190 B= 65 Cin=1 | Sum=01010100 Cout=0
A=190 B= 66 Cin=0 | Sum=00000000 Cout=1
A=190 B= 66 Cin=1 | Sum=00000001 Cout=1
A=190 B= 67 Cin=0 | Sum=00000001 Cout=1
A=190 B= 67 Cin=1 | Sum=00000010 Cout=1
A=190 B= 68 Cin=0 | Sum=00000010 Cout=1
A=190 B= 68 Cin=1 | Sum=00000011 Cout=1
A=190 B= 69 Cin=0 | Sum=00000011 Cout=1
A=190 B= 69 Cin=1 | Sum=00000000 Cout=1
A=190 B= 70 Cin=0 | Sum=00000100 Cout=1
A=190 B= 70 Cin=1 | Sum=00000101 Cout=1
A=190 B= 71 Cin=0 | Sum=00000101 Cout=1
A=190 B= 71 Cin=1 | Sum=00000110 Cout=1
A=190 B= 72 Cin=0 | Sum=00000110 Cout=1
A=190 B= 72 Cin=1 | Sum=00000111 Cout=1
A=190 B= 73 Cin=0 | Sum=00000111 Cout=1
