Time resolution is 1 ps
Time=0 | PC=   0 | Instr=xxxx | op1=xx | op2=xx | Result=xx | RegWrite=x
Time=6000 | PC=   1 | Instr=0000 | op1=xx | op2=xx | Result=xx | RegWrite=0
Time=16000 | PC=   1 | Instr=4000 | op1=xx | op2=xx | Result=xx | RegWrite=0
Time=26000 | PC=   2 | Instr=4000 | op1=xx | op2=xx | Result=xx | RegWrite=0
Time=36000 | PC=   3 | Instr=4101 | op1=xx | op2=xx | Result=xx | RegWrite=0
Time=46000 | PC=   4 | Instr=1201 | op1=xx | op2=xx | Result=xx | RegWrite=1
Time=56000 | PC=   5 | Instr=4303 | op1=xx | op2=xx | Result=xx | RegWrite=1
Time=66000 | PC=   6 | Instr=4404 | op1=xx | op2=02 | Result=xx | RegWrite=1
Time=76000 | PC=   7 | Instr=5534 | op1=xx | op2=02 | Result=03 | RegWrite=1
Time=86000 | PC=   8 | Instr=380b | op1=xx | op2=02 | Result=xX | RegWrite=1
Time=96000 | PC=   9 | Instr=0031 | op1=xx | op2=aa | Result=xX | RegWrite=1
Time=106000 | PC=  10 | Instr=0f42 | op1=aa | op2=02 | Result=20 | RegWrite=1
Time=116000 | PC=  11 | Instr=0834 | op1=05 | op2=aa | Result=54 | RegWrite=0
Time=126000 | PC=  11 | Instr=6943 | op1=03 | op2=75 | Result=0a | RegWrite=0
Time=136000 | PC=  12 | Instr=6943 | op1=75 | op2=aa | Result=78 | RegWrite=0
Time=146000 | PC=  13 | Instr=3501 | op1=aa | op2=75 | Result=1f | RegWrite=0
Time=156000 | PC=  14 | Instr=0000 | op1=aa | op2=75 | Result=35 | RegWrite=0
Time=166000 | PC=  15 | Instr=xxxx | op1=05 | op2=02 | Result=35 | RegWrite=0
Time=176000 | PC=  16 | Instr=xxxx | op1=02 | op2=02 | Result=0a | RegWrite=1
Time=186000 | PC=  17 | Instr=xxxx | op1=xx | op2=xx | Result=04 | RegWrite=0
Time=196000 | PC=  18 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=206000 | PC=  19 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=216000 | PC=  20 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=226000 | PC=  21 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=236000 | PC=  22 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=246000 | PC=  23 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=256000 | PC=  24 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=266000 | PC=  25 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=276000 | PC=  26 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=286000 | PC=  27 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=296000 | PC=  28 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=306000 | PC=  29 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=316000 | PC=  30 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=326000 | PC=  31 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=336000 | PC=  32 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=346000 | PC=  33 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=356000 | PC=  34 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=366000 | PC=  35 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=376000 | PC=  36 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=386000 | PC=  37 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=396000 | PC=  38 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=406000 | PC=  39 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=416000 | PC=  40 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=426000 | PC=  41 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=436000 | PC=  42 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=446000 | PC=  43 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=456000 | PC=  44 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=466000 | PC=  45 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=476000 | PC=  46 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=486000 | PC=  47 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=496000 | PC=  48 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=506000 | PC=  49 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=516000 | PC=  50 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=526000 | PC=  51 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=536000 | PC=  52 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=546000 | PC=  53 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=556000 | PC=  54 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=566000 | PC=  55 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=576000 | PC=  56 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=586000 | PC=  57 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=596000 | PC=  58 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=606000 | PC=  59 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=616000 | PC=  60 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=626000 | PC=  61 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
